type,name,city,region,postalCode,url,min,max
"chateau-mariage","Château de Versailleux","Versailleux","Ain","01330","https://www.mariages.net/chateau-mariage/chateau-de-versailleux--e252385",70,350
"domaine-mariage","Domaine de Chantesse","Saint-Donat-sur-l'Herbasse","Drôme","26260","https://www.mariages.net/domaine-mariage/domaine-de-chantesse--e42792",30,200
"domaine-mariage","Domaine de la Chartrognière","Saint-Thomas-en-Royans","Drôme","26190","https://www.mariages.net/domaine-mariage/domaine-de-la-chartrogniere--e169638",20,180
"domaine-mariage","Domaine du Bijoutier","Grignan","Drôme","26230","https://www.mariages.net/domaine-mariage/domaine-du-bijoutier--e264847",50,250
"domaine-mariage","Domaine de la Diligence","Saint-Genest-Malifaux","Loire","42660","https://www.mariages.net/domaine-mariage/domaine-de-la-diligence--e138863",40,220
"domaine-mariage","Domaine de Valinches","Marols","Loire","42560","https://www.mariages.net/domaine-mariage/domaine-de-valinches--e143638",50,220
"domaine-mariage","La Serraz","La Clusaz","Haute-Savoie","74220","https://www.mariages.net/domaine-mariage/la-serraz--e319224",10,60
"domaine-mariage","Les Rhodos","La Clusaz","Haute-Savoie","74220","https://www.mariages.net/domaine-mariage/les-rhodos--e167536",15,250
"salle-mariage","Casino Grand Cercle","Aix-les-Bains","Savoie","73100","https://www.mariages.net/salle-mariage/casino-grand-cercle--e137367",90,250
"chateau-mariage","Balmes Le Château","Romans-sur-Isère","Drôme","26100","https://www.mariages.net/chateau-mariage/balmes-le-chateau--e324456",0,200
"chateau-mariage","Château de Servolex","La Motte-Servolex","Savoie","73290","https://www.mariages.net/chateau-mariage/chateau-de-servolex--e125788",0,200
"domaine-mariage","La Cour de Marius","Grézieu-le-Marché","Rhône","69610","https://www.mariages.net/domaine-mariage/la-cour-de-marius--e362455",10,200
"chateau-mariage","Château de la Mar","Jongieux","Savoie","73170","https://www.mariages.net/chateau-mariage/chateau-de-la-mar--e356387",1,150
"domaine-mariage","Domaine du Moulin","Caloire","Loire","42240","https://www.mariages.net/domaine-mariage/domaine-du-moulin--e361313",70,250
